"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"67",1.1,7,6,4,4,1,1,1,1,1,0,20
"67",1.2,6,5,5,5,1,1,1,1,1,0,1
"67",1.3,6,4,6,7,1,2,2,1,1,0,1
"67",1.4,6,5,6,3,1,1,2,2,2,0,20
"67",1.5,5,4,4,2,1,1,3,3,5,0,5
"67",2.1,5,6,6,4,2,1,1,1,2,0,8
"67",2.2,3,3,2,3,2,2,4,2,3,1,1
"67",2.3,6,5,6,4,1,1,1,1,2,0,1
"67",2.4,6,6,7,6,1,1,1,1,2,0,1
"67",2.5,6,7,7,5,1,1,1,1,1,0,25
"67",3.1,6,6,5,4,2,3,1,1,2,0,7
"67",3.2,5,5,5,5,1,1,2,2,2,0,1
"67",3.3,6,5,5,6,4,2,2,1,2,1,1
"67",3.4,5,5,5,6,1,2,2,2,2,1,30
"67",3.5,6,7,6,6,1,1,1,1,2,0,50
"67",4.1,5,6,5,4,1,1,1,1,2,0,1
"67",4.2,6,6,6,6,2,1,2,2,1,0,1
"67",4.3,5,6,5,4,1,1,5,2,2,0,1
"67",4.4,5,5,5,4,1,1,1,1,1,0,25
"67",4.5,6,5,5,5,1,1,2,1,2,0,30
"67",5.1,7,7,6,4,1,1,1,1,1,0,1
"67",5.2,5,6,5,6,2,1,2,2,2,0,1
"67",5.3,6,6,6,4,5,1,1,2,5,0,1
"67",5.4,7,6,6,7,1,1,1,1,1,0,30
"67",5.5,5,6,5,2,2,1,4,3,4,0,20
"67",6.1,6,5,6,7,1,1,1,1,1,1,20
"67",6.2,6,7,6,6,1,1,1,1,1,0,80
"67",6.3,6,7,6,7,1,1,1,1,1,0,45
"67",6.4,7,6,6,7,1,1,1,1,1,0,45
"67",6.5,7,6,6,6,1,1,2,1,1,0,1
"67",7.1,6,7,6,7,1,1,1,1,1,0,5
"67",7.2,6,6,6,6,1,1,2,1,1,0,1
"67",7.3,6,6,6,6,1,1,2,1,1,0,90
"67",7.4,7,5,6,7,1,1,1,1,1,0,60
"67",7.5,5,5,5,6,1,1,1,1,1,0,1
"67",8.1,5,5,5,5,1,1,3,2,2,0,1
"67",8.2,5,5,5,5,1,1,3,2,1,0,60
"67",8.3,6,7,6,5,1,1,1,1,1,0,45
"67",8.4,6,6,6,6,1,1,1,1,1,0,1
"67",8.5,6,6,6,7,1,1,1,1,1,0,20
"67",9.1,5,5,4,5,1,1,2,2,3,0,1
"67",9.2,6,6,6,7,1,1,1,1,1,0,1
"67",9.3,7,7,6,6,1,1,1,1,1,0,45
"67",9.4,6,2,6,7,1,1,1,1,1,0,45
"67",9.5,7,5,6,5,1,1,1,1,2,0,1
"67",10.1,5,6,5,6,1,1,1,1,1,0,5
"67",10.2,5,5,5,5,1,2,2,3,1,0,45
"67",10.3,5,5,4,5,1,2,1,2,1,0,25
"67",10.4,5,4,3,4,1,2,3,2,1,0,35
"67",10.5,6,6,7,6,1,1,1,1,1,0,20
"67",11.1,5,4,5,4,4,1,2,2,3,0,30
"67",11.2,5,5,4,5,3,2,2,2,3,0,1
"67",11.3,5,6,5,7,1,1,1,1,2,0,25
"67",11.4,6,5,5,6,1,1,2,1,2,0,1
"67",11.5,6,6,5,5,1,1,1,1,1,0,1
"67",12.1,7,6,5,7,1,1,1,1,1,0,1
"67",12.2,6,6,6,6,1,1,2,1,1,0,1
"67",12.3,6,5,6,5,1,1,1,1,1,0,1
"67",12.4,6,5,6,6,1,1,1,1,1,0,1
"67",12.5,6,6,6,6,1,1,2,1,2,0,25
"67",13.1,6,6,7,7,1,1,1,1,1,0,1
"67",13.2,7,7,7,5,2,1,1,1,2,0,45
"67",13.3,6,7,6,3,2,1,2,3,3,0,25
"67",13.4,7,5,5,7,1,1,1,1,1,0,60
"67",13.5,6,5,5,6,2,1,1,2,1,0,1
"67",14.1,5,6,4,5,2,3,3,3,3,0,1
"67",14.2,5,5,6,6,1,5,1,1,5,0,1
"67",14.3,6,7,5,3,2,1,4,1,1,0,45
"67",14.4,6,5,6,7,1,1,1,1,1,0,45
"67",14.5,3,4,3,4,2,2,4,3,3,0,1
