"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"11",1.1,2,2,2.5,3,4.5,4.5,5,4.5,4,0.5,62.5
"11",1.2,2,2,1,3,5,5,5,4,4,1,90
"11",1.3,2,2,4,3,4,4,5,5,4,0,35
"11",1.4,1,1,6,2,5,4,4,2,5,0,45
"11",1.5,1,1,1,2,4,5,6,5,5,1,1
"11",2.1,1.25,2.25,3.75,2,4.75,5.25,5,4,4.75,0.5,82.75
"11",2.2,1,5,5,2,5,6,5,5,3,0,240
"11",2.3,2,2,3,2,5,6,5,4,6,1,45
"11",2.4,1,2,1,2,5,3,3,4,5,1,25
"11",2.5,1,2,2,2,5,6,5,3,5,1,60
"11",3.1,1.25,2.25,2.25,2.5,5.25,4.75,3.75,3.25,4.75,0.75,27.75
"11",3.2,1,1,1,2,6,6,4,4,5,0,1
"11",3.3,2,4,5,4,5,4,3,2,4,1,25
"11",3.4,2,2,2,2,2,5,3,2,4,1,45
"11",3.5,1,1,1,2,2,2,5,3,4,1,1
"11",4.1,2,2,2,2,4,3,5,2,5,1,1
"11",4.2,2,3,1,4,4,5,4,2,4,1,20
"11",4.3,1,2,1,3,4,3,3,2,3,1,25
"11",4.4,2,5,3,3,3,4,3,3,4,1,40
"11",4.5,2,2,1,3,2,4,2,3,3,1,1
"11",5.1,1,2,1,3,2,5,3,4,4,1,25
"11",5.2,3,2,1,3,5,6,7,4,3,1,1
"11",5.3,2,2,1,2,2,3,2,3,5,1,7
"11",5.4,1,3,1,4,4,5,2,1,5,0,60
"11",5.5,1,3,2,4,4,3,4,4,3,1,45
"11",6.1,2,2,2,2,6,4,3,2,5,1,1
"11",6.2,1,1,2,3,5,7,6,4,4,1,60
"11",6.3,1,1,1,3,5,3,4,5,5,0,1
"11",6.4,1,2,1,2,5,5,6,4,5,1,1
"11",6.5,1,1,2,2,6,3,5,4,5,1,1
"11",7.1,2,2,5,3,3,4,5,3,4,0,45
"11",7.2,1,2,1,1,5,4,2,3,5,0,1
"11",7.3,2,2,2,1,2,5,2,2,2,1,1
"11",7.4,1.75,2,2.5,2.25,3.75,4.5,2.75,2.25,4.25,0.5,100.75
"11",7.5,2,2,2,5,3,5,4,2,5,1,400
"11",8.1,2,2,5,2,5,4,3,2,5,0,1
"11",8.2,2,2,2,2,2,2,2,2,2,0,35
"11",8.3,1.75,2,2.5,2.75,3.25,3.75,4,2.5,3.5,0,9.5
"11",8.4,2,2,2,4,2,5,5,2,3,0,1
"11",8.5,1,2,1,3,4,4,6,4,4,0,1
"11",9.1,1.75,2,1.75,3.25,3.75,4.5,4.75,3,3.75,0,15.75
"11",9.2,2,2,2,2,5,4,4,3,4,0,1
"11",9.3,2,2,2,4,4,5,4,3,4,0,60
"11",9.4,2,1,1,2,5,4,4,3,5,0,1
"11",9.5,1,1,1,2,3,5,5,3,5,0,1
"11",10.1,1.5,1.5,2,2.25,3.75,4.25,4.75,3,4.75,0.25,101.75
"11",10.2,1,2,1,1,3,6,5,2,5,1,360
"11",10.3,2,2,5,4,4,2,5,4,4,0,45
"11",10.4,1,2,2,2,3,2,2,3,4,0,90
"11",10.5,2,3,2,3,4,6,5,2,5,1,1
"11",11.1,1.33333333333333,2,2,2.33333333333333,3.66666666666667,4,3.66666666666667,3,4.33333333333333,0.333333333333333,30.6666666666667
"11",11.2,1,1,2,2,4,4,4,4,4,0,1
"11",11.3,1,1,1.33333333333333,1.33333333333333,2.66666666666667,6,2.33333333333333,2.66666666666667,4,0.666666666666667,1
"11",11.4,1,1,1,1,2,7,2,2,5,1,1
"11",11.5,1,1,1,1,2,7,1,2,3,1,1
"11",12.1,1,1,1,1,3,7,2.33333333333333,2.66666666666667,4.33333333333333,0.666666666666667,1
"11",12.2,1,1,1,1,5,7,4,4,5,0,1
"11",12.3,1,1,1,1,4,6.66666666666667,4.33333333333333,3.33333333333333,5,0.333333333333333,9
"11",12.4,1,1,1,1,4,6,5,2,6,1,1
"11",12.5,1,1,1,1,3,7,4,4,4,0,25
"11",13.1,1,3,2,3,4,5,2,4,4,0,1
"11",13.2,1,1,1,3,4,6,4,3,5,0,1
"11",13.3,1,2,1.66666666666667,3,3.66666666666667,5.66666666666667,3,3.33333333333333,4.33333333333333,0.333333333333333,1
"11",13.4,1,1.33333333333333,1.33333333333333,3,4,5.66666666666667,3.33333333333333,3.33333333333333,4.33333333333333,0.333333333333333,1
"11",13.5,1,2,2,3,3,6,3,3,4,1,1
"11",14.1,1,1,1,3,5,5,3,4,4,0,1
"11",14.2,1,1.25,1.25,2.25,3.5,5.5,3.5,4,4.25,0.25,1
"11",14.3,1,1,1,2,3,5,4,5,4,0,1
"11",14.4,1,1,1,1,3,6,4,4,5,0,1
"11",14.5,1,1,1,1.5,3,5.5,4,4.5,4.5,0,1
