"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"104",1.1,3,2.5,3.5,3.5,4,4,4.5,4.5,4,0.5,1
"104",1.2,2,2,2,2,5,5,5,6,6,1,1
"104",1.3,3,2.5,3.5,3.5,4,4,4.5,4.5,4,0.5,1
"104",1.4,2.66666666666667,3,3,3.66666666666667,4.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,4,0.666666666666667,10.6666666666667
"104",1.5,4,3,5,5,3,3,4,3,2,0,1
"104",2.1,2,4,2,4,5,3,2,2,4,1,30
"104",2.2,4,3,4,2,5,5,2,3,5,0,90
"104",2.3,3,3,3,2.25,4,4,3.25,3,4.75,0.75,56.25
"104",2.4,4,3,3,1,5,4,4,2,5,1,60
"104",2.5,2,2,3,2,1,4,5,5,5,1,45
"104",3.1,3,2,2,3,2,5,5,4,5,1,60
"104",3.2,4,3,4,4,2,4,4,2,5,0,1
"104",3.3,2,2,2,3,1,3,5,4,3,0,30
"104",3.4,3.25,2.5,2.75,2.75,3,4,4.5,3.25,4.25,0.5,15.5
"104",3.5,4,2,3,2,4,4,3,2,4,1,30
"104",4.1,3,3,2,2,5,5,6,5,5,1,1
"104",4.2,3,5,4,4,3,4,2,2,5,0,60
"104",4.3,1,2,1,1,5,3,7,6,5,1,45
"104",4.4,4,5,5,4,3,3,4,3,4,0,60
"104",4.5,5,4,3,3,2,5,3,2,5,0,1
"104",5.1,4,2,2,2,2,5,5,5,4,1,60
"104",5.2,2,4,3,3,6,5,4,5,5,1,30
"104",5.3,3,3,3,3,1,5,5,5,6,1,45
"104",5.4,3,3.75,3.5,3.5,3.25,4.25,3.75,3.75,5.25,0.5,33.75
"104",5.5,4,4,5,5,2,3,2,2,5,0,30
"104",6.1,3,4,3,3,4,4,4,3,5,0,30
"104",6.2,3,5,5,3,4,4,5,2,4,0,45
"104",6.3,4,3,4,2,6,4,5,3,6,0,1
"104",6.4,3.25,3.75,4,2.75,3.75,3.75,4.25,3,4.5,0.25,34
"104",6.5,2,3,3,2,3,4,5,5,5,1,30
"104",7.1,4,4,4,4,2,3,2,2,3,0,60
"104",7.2,4,5,3,4,3,4,5,4,3,0,60
"104",7.3,4,3,5,5,4,4,2,2,3,0,30
"104",7.4,2,2,2,3,3,4,3,3,5,1,60
"104",7.5,5,5,5,4,2,3,2,1,3,0,60
"104",8.1,2,1,4,3,2,5,5,3,5,1,60
"104",8.2,5,4,6,5,2,2,2,3,3,1,1
"104",8.3,2,3,3,3,3,5,5,2,4,0,30
"104",8.4,3,3,3,2,2,4,2,2,5,1,45
"104",8.5,4,2,4,4,2,4,3,2,5,0,30
"104",9.1,3,4,2,3,5,5,4,4,5,0,1
"104",9.2,2,4,4,1,5,5,3,3,4,0,60
"104",9.3,3,4,2,2,5,5,4,3,4,1,90
"104",9.4,5,4,3,4,3,4,4,2,5,0,20
"104",9.5,4,3,3,2,4,5,5,5,5,0,30
"104",10.1,4,3,4,4,2,3,3,2,3,1,45
"104",10.2,5,3,4,5,4,4,2,1,3,0,30
"104",10.3,4.25,3.5,3.75,4.75,2.75,3.75,2.75,2.25,3,0.5,34
"104",10.4,4,4,3,5,3,4,3,4,3,1,1
"104",10.5,4,4,4,5,2,4,3,2,3,0,60
"104",11.1,3,4,3,3,5,4,5,2,6,0,60
"104",11.2,4,4,3,2,5,3,5,4,5,0,45
"104",11.3,1,1,1,1,6,5,7,5,7,1,30
"104",11.4,3,2,1,1,6,4,6,5,6,1,45
"104",11.5,4,5,5,2,3,4,5,3,5,1,60
"104",12.1,3,3,3,2,5,4,2,2,5,1,40
"104",12.2,4,4,5,2,2,5,5,2,4,0,50
"104",12.3,3,4,4,2,5,2,6,4,5,1,30
"104",12.4,4,5,4,4,3,2,3,1,4,0,30
"104",12.5,3,4,3,3,5,4,4,3,5,0,45
"104",13.1,4,3,2,2,5,3,5,2,5,1,30
"104",13.2,3,3,4,5,5,3,3,2,4,0,20
"104",13.3,2,3,2,3,5,4,7,6,6,1,20
"104",13.4,3,4,3,3,5,5,6,4,5,1,60
"104",13.5,2.5,3.5,2.5,3,5,4.5,6.5,5,5.5,1,40
"104",14.1,3,3,3,2.5,4,5,5.5,5,4,1,45
"104",14.2,3,3.5,3,2,3.5,4.5,5,5,4,0.5,45
"104",14.3,3,2,3,2,3,5,5,6,3,1,30
"104",14.4,3,5,3,2,4,4,5,4,5,0,60
"104",14.5,4,5,3,3,5,4,2,3,4,1,60
