"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"72",1.1,2,1,1,1,2,6,1,1,4,1,30
"72",1.2,1,2,3,4,1,5,1,2,5,1,40
"72",1.3,4,4,4,4,3,3,2,1,1,1,1
"72",1.4,4,4,3,4,1,3,1,1,2,1,20
"72",1.5,4,5,5,5,2,2,1,1,2,0,60
"72",2.1,1,1,1,1,2,7,3,3,5,1,60
"72",2.2,3,2,3,4,2,2,1,2,1,1,5
"72",2.3,2,2,1,3,1,4,1,1,1,0,1
"72",2.4,1,1,1,1,4,7,6,4,7,1,45
"72",2.5,4,1,4,4,1,2,1,1,1,1,20
"72",3.1,1,1,1,1,4,6,1,1,6,0,1
"72",3.2,4,3,4,4,2,3,2,1,4,0,1
"72",3.3,3,1.66666666666667,3,3,2.33333333333333,3.33333333333333,1.33333333333333,1.66666666666667,3.66666666666667,0.333333333333333,1
"72",3.4,4,2,4,4,1.5,2,1.5,2,2.5,0.5,1
"72",3.5,4,1,4,4,1,1,1,3,1,1,1
"72",4.1,2.5,1,2.5,2.5,2,3,1,2,3.5,1,15.5
"72",4.2,2.5,1,2.5,2.5,2,3,1,2,3.5,1,15.5
"72",4.3,2.5,2.5,3,3,2.5,3,1,1.5,4.5,0.5,45
"72",4.4,1,1,1,1,3,5,1,1,6,1,30
"72",4.5,4,4,5,5,2,1,1,2,3,0,60
"72",5.1,1,1,1,1,6,4,1,1,5,0,1
"72",5.2,1,1,1,1,6,5,4,4,6,1,60
"72",5.3,1,1,1,1,4,5,2,2,5,1,30
"72",5.4,1,1,1,1,6,5,5,1,6,1,1
"72",5.5,1,1.25,1.5,1.5,4,4.5,2.25,1.25,4.5,1,30.25
"72",6.1,1,1,1,1,4,5,1,1,4,1,60
"72",6.2,1,2,3,3,2,3,1,1,3,1,30
"72",6.3,4,5,3,4,1,1,1,1,1,0,1
"72",6.4,2.5,3.5,3,3.5,1.5,2,1,1,2,0.5,15.5
"72",6.5,4.5,5.5,4.5,5.5,1,1.5,1,1,1,0,30.5
"72",7.1,5.5,6,6,6.5,1,2,1,1,1,0,60
"72",7.2,5,6,6,7,1,2,1,1,1,0,60
"72",7.3,6,6,6,6,1,2,1,1,1,0,60
"72",7.4,5,6,5,6,1,1,1,1,1,0,1
"72",7.5,4,3,4,4,2,3,1,1,1,1,20
"72",8.1,1,2,2,3,2,3,1,2,3,1,60
"72",8.2,1,1,2,2,6,5,6,3,7,0,1
"72",8.3,1,1,2,1,5,6,7,6,7,1,40
"72",8.4,2,3,2,2,3,3,3,1,2,1,1
"72",8.5,2,2.25,2,2,2.5,3.25,3.25,2.25,3.25,1,10.75
"72",9.1,1,1,1,1,1,3,1,1,3,1,1
"72",9.2,4,4,3,4,1,1,2,1,1,1,1
"72",9.3,3,4,4,5,1,1,1,1,1,0,5
"72",9.4,3,3.5,3.25,4.25,1.25,2,1.25,1,1,0.25,61.75
"72",9.5,4,5,5,4,1,2,1,1,1,0,1
"72",10.1,1,1,1,4,2,4,1,1,1,0,240
"72",10.2,2,2,3,3,2,3,1,2,2,0,5
"72",10.3,1.33333333333333,1.33333333333333,1.66666666666667,2.66666666666667,3,4,3,2.33333333333333,3.33333333333333,0.333333333333333,100
"72",10.4,1,1,1,1,5,5,7,4,7,1,55
"72",10.5,1.66666666666667,1.33333333333333,1,1.66666666666667,2.33333333333333,4.66666666666667,3,2,3,0.333333333333333,19
"72",11.1,1,2,1,2,1,5,1,1,1,0,1
"72",11.2,3,1,1,2,1,4,1,1,1,0,1
"72",11.3,3,2,2,4,1,1,1,1,1,1,1
"72",11.4,1,1,2,4,1,1,1,1,1,0,5
"72",11.5,1.75,1.75,2.25,3,1.25,1.75,3.5,2.5,3.25,0.75,22.75
"72",12.1,1,1,1,1,1,2,7,5,7,1,60
"72",12.2,2,3,4,3,2,3,5,3,4,1,25
"72",12.3,2,1,3,4,1,2,1,1,2,1,1
"72",12.4,1,1,2,2,1,5,5,5,5,0,1
"72",12.5,1,2,1,1,1,4,7,7,6,0,60
"72",13.1,2,2,2,3,1,3,1,1,2,1,1
"72",13.2,3,3,2,2,2,4,4,2,4,0,1
"72",13.3,2.75,2,2.25,3.25,1.75,3.25,2.75,1.5,3.25,0.25,16.75
"72",13.4,3,2,4,4,2,2,1,2,3,0,5
"72",13.5,3,1,1,4,2,4,5,1,4,0,60
"72",14.1,3,1.5,2,3.25,1.5,3,3,1.5,3.5,0.25,17.75
"72",14.2,2,1,1,1,1,5,5,2,6,1,1
"72",14.3,4,2,2,4,1,1,1,1,1,0,5
"72",14.4,2,1,1,3,1,5,2,1,1,0,5
"72",14.5,3,1.5,1.5,3.5,1,3,1.5,1,1,0,5
