"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"101",1.1,4,4,4,2,5,2,1,1,5,1,20
"101",1.2,3,1,1,2,4,4,2,1,4,0,40
"101",1.3,1,2,1,2,3,5,5,4,4,0,20
"101",1.4,1,1,1,2,2,6,5,2,4,1,7
"101",1.5,4,5,5,2,4,2,2,1,2,0,5
"101",2.1,1,2,1,1,4,7,2,3,5,1,30
"101",2.2,2,2.75,2.25,1.5,4,5,1.75,1.75,4,0.75,9.25
"101",2.3,1,2,1,1,4,6,2,2,4,1,1
"101",2.4,2,2,2,2,4,5,1,1,5,1,1
"101",2.5,4,5,4,3,4,4,5,5,3,0,7
"101",3.1,4,3,4,3,4,4,1,1,4,0,60
"101",3.2,3,3,2,2,4,4,2,1,2,1,1
"101",3.3,1,2,2,3,4,4,3,2,4,1,30
"101",3.4,1,1,1,1,3,5,4,3,5,1,50
"101",3.5,2,2,2,2,5,3,3,4,4,0,1
"101",4.1,4,2,2,3,3,3,1,2,3,0,1
"101",4.2,2,2,2,2,4,3,2,2,5,0,1
"101",4.3,2,2,2,2,4,4,3,3,5,0,1
"101",4.4,5,4,5,1,6,1,1,1,2,1,5
"101",4.5,4,4,4,2,4,1,1,2,3,0,1
"101",5.1,2,2,1,2,4,4,3,2,5,0,1
"101",5.2,2,1,1,2,4,4,2,2,2,0,5
"101",5.3,1,1,1,1,6,7,3,2,7,1,1
"101",5.4,1,1,1,1,6,7,2,2,7,1,240
"101",5.5,2,1,1,3,5,7,2,2,6,1,330
"101",6.1,1,2,1,2,4,5,3,1,4,0,1
"101",6.2,2,2,1.75,2.25,4.75,5.5,3,2,5.25,0.75,90.5
"101",6.3,1,1,1,1,7,7,5,3,7,1,1
"101",6.4,4,4,4,3,3,3,2,2,4,1,30
"101",6.5,1,2,1,1,5,6,4,4,5,1,5
"101",7.1,1.75,2,1.75,1.5,4.75,5.25,3.25,2.75,5.5,1,24
"101",7.2,1,1,1,1,5,5,4,3,6,1,60
"101",7.3,1,1,1,1,6,7,3,2,7,1,1
"101",7.4,1,1,1,1,5,7,2,2,7,0,240
"101",7.5,1,1,1,1,5,7,3,3,7,1,330
"101",8.1,2,2,2,2,4,5,3,2,5,1,1
"101",8.2,1,1,1,2,4,6,3,4,5,0,5
"101",8.3,5,6,5,3,4,2,1,1,2,0,30
"101",8.4,1,1,1,1,5,5,2,2,6,1,30
"101",8.5,1,1,2,1,4,7,3,3,6,1,1
"101",9.1,1.5,1.5,1.75,1.25,4.5,5.75,2.5,2.25,5.25,0.75,34
"101",9.2,1,1,1,2,5,7,2,2,5,1,60
"101",9.3,3,3,3,1,4,4,3,2,4,0,45
"101",9.4,1,1,2,2,4,5,4,2,5,0,1
"101",9.5,3,3,4,2,3,2,1,1,2,0,1
"101",10.1,1.5,1.5,2,1.75,4.25,4.75,2.25,1.75,4.25,0.5,15.75
"101",10.2,1,1,1,2,5,6,2,2,5,1,60
"101",10.3,1,1,1,1,5,6,2,2,5,1,1
"101",10.4,1,1,1,1.5,5,6,2,2,5,1,30.5
"101",10.5,1,1,1,1.33333333333333,5,6,2,2,5,1,40.3333333333333
"101",11.1,1,1,1,1,5,6,2,2,5,1,30.5
"101",11.2,1,1,1,1.5,5,4.5,1.5,1.5,5,0.5,40
"101",11.3,1,1,1,1,5,6,2,2,5,1,60
"101",11.4,1,1,1,1.5,5,4.5,1.5,1.5,5,0.5,40
"101",11.5,1,1,1,2,5,3,1,1,5,0,20
"101",12.1,1,1.33333333333333,1.33333333333333,2,5,5.33333333333333,1.66666666666667,1.66666666666667,5,0.333333333333333,23.3333333333333
"101",12.2,1,2,2,2,5,6,2,2,5,0,20
"101",12.3,1,1,1,2,5,7,2,2,5,1,30
"101",12.4,1,2,1,2,5,7,2,2,5,0,240
"101",12.5,2,3,1,2,5,3,2,2,4,0,1
"101",13.1,2,1,1,2,4,5,2,2,5,0,5
"101",13.2,1,1,1,2,5,5,2,2,5,0,1
"101",13.3,1,1,1,1,5,6,2,2,6,1,60
"101",13.4,1,1,1,1,5,7,7,3,7,1,90
"101",13.5,1,2,2,2,5,5,3,2,5,0,20
"101",14.1,1,1.25,1.25,1.5,5.25,6.25,3.75,2.5,6.25,0.75,42.75
"101",14.2,1,1,1,2,5,6,3,3,6,1,60
"101",14.3,1,1,1,1,6,7,2,2,7,1,1
"101",14.4,4,2,3,2,4,4,2,2,5,1,90
"101",14.5,1,1,1,1,5,6,3,2,5,1,30
