"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"68",1.1,5,3,4,5,3,2,1,1,3,1,1
"68",1.2,5,5,5,4,1,1,2,1,3,0,45
"68",1.3,5,3,4,4,4,1,2,2,2,1,20
"68",1.4,3,1,2,3,2,2,6,5,5,0,60
"68",1.5,6,5,5,7,2,3,1,1,5,1,25
"68",2.1,4,3,4,4,5,5,3,2,5,0,1
"68",2.2,5,3,3,3,5,2,6,2,5,1,1
"68",2.3,4,4,4,5,2,4,3,3,2,1,40
"68",2.4,4,3,2,3,5,5,5,4,6,0,1
"68",2.5,7,4,6,6,3,3,2,4,4,0,30
"68",3.1,4,5,5,3,3,2,5,2,4,0,90
"68",3.2,4,4,3,4,5,2,4,3,3,1,56
"68",3.3,6,3,5,6,3,3,3,2,4,0,68
"68",3.4,6,4,4,6,2,2,3,3,2,0,58
"68",3.5,4,3,3,5,2,4,2,2,4,0,25
"68",4.1,5,5,4,4,3,2,2,2,3,0,50
"68",4.2,6,5,6,5,2,2,2,2,3,1,58
"68",4.3,5,5,5,6,2,2,2,1,4,0,80
"68",4.4,5,4,6,5,2,2,3,1,3,0,45
"68",4.5,6,3,6,6,3,2,2,2,4,0,46
"68",5.1,4,3,2,3,2,2,3,3,4,0,60
"68",5.2,4,5,3,4,2,2,3,2,4,0,40
"68",5.3,5,4,3,6,2,2,2,1,4,0,48
"68",5.4,5,5,5,5,2,2,2,2,3,0,45
"68",5.5,5,3,5,5,1,1,2,2,2,0,50
"68",6.1,4,4,5,3,2,2,2,2,2,0,50
"68",6.2,4,4,3,3,2,1,3,1,3,0,98
"68",6.3,4,4,3,5,3,2,2,1,2,0,28
"68",6.4,4,4,3,4,2,2,2,2,4,0,45
"68",6.5,5,5,4,5,2,2,2,2,3,0,30
"68",7.1,4,4,5,4,3,2,2,3,3,0,25
"68",7.2,4,3,2,4,2,2,2,2,2,0,90
"68",7.3,6,4,5,6,2,2,2,2,3,0,25
"68",7.4,3,3,3,2,2,2,2,2,5,0,1
"68",7.5,5,4,5,5,4,2,2,2,4,0,40
"68",8.1,4,3,4,4,2,2,3,2,2,0,25
"68",8.2,4.5,4,4.25,4.25,3.5,2,2.25,2,3.25,0,16.75
"68",8.3,5,5,4,4,3,2,2,2,4,0,1
"68",8.4,4,4,4,4,5,2,2,2,3,0,1
"68",8.5,5,4,4,4,2,3,2,2,2,0,25
"68",9.1,5,5,5,5,4,3,4,2,4,0,7
"68",9.2,5,3,5,5,2,2,2,2,4,0,58
"68",9.3,5,5,3,6,3,3,3,2,3,0,20
"68",9.4,6,5,5,5,2,2,2,2,2,0,20
"68",9.5,6,5,5,5,2,1,2,2,2,0,60
"68",10.1,5,5,4,5,2,2,2,2,3,0,45
"68",10.2,6,5,4,5,3,3,3,2,4,0,45
"68",10.3,5,5,4,5,2,2,2,1,3,0,50
"68",10.4,5,5,4,5,3,3,2,2,3,0,60
"68",10.5,4,3,4,3,1,2,2,2,2,0,1
"68",11.1,5,2,5,5,3,2,2,2,2,0,20
"68",11.2,5,3,4.66666666666667,4.66666666666667,1.66666666666667,1.66666666666667,2,1.66666666666667,2,0,7.33333333333333
"68",11.3,6,3.66666666666667,5,5.33333333333333,2,1.66666666666667,2,1.66666666666667,2,0,7.33333333333333
"68",11.4,6,4,5,6,1,1,2,1,2,0,1
"68",11.5,7,5,5,5,2,2,2,2,2,0,1
"68",12.1,5,3,5,6,1,1,1,1,1,0,60
"68",12.2,6,5,5,4,1,1,1,1,1,0,45
"68",12.3,6,5,5,5,3,1,1,1,1,0,50
"68",12.4,5,4,5,5,2,1,1,1,2,0,45
"68",12.5,5,4,5,5,2,1,1,1,1,0,45
"68",13.1,5,4,4,4,1,1,2,1,2,0,45
"68",13.2,5.25,4,4.25,5.25,1.25,1,1.5,1,1.5,0,48.75
"68",13.3,5,5,4,6,1,1,2,1,1,0,60
"68",13.4,6,3,4,6,1,1,1,1,2,0,45
"68",13.5,5,4,5,5,1,1,1,1,2,1,60
"68",14.1,3,4,2,3,1,2,1,3,2,0,45
"68",14.2,5,2,3,3,2,2,2,2,3,0,30
"68",14.3,4,4,5,5,2,1,2,1,2,0,30
"68",14.4,3,3,4,3,1,1,2,1,2,0,60
"68",14.5,4,4,4,4,1,2,3,1,3,0,30
