"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"100",1.1,3,5,4,5,1,5,1,1,2,1,20
"100",1.2,5,6,6,5,1,2,1,1,1,0,25
"100",1.3,6,5,5,7,1,1,1,1,2,0,30
"100",1.4,3.5,3.5,3.75,3.75,2,3,3.25,2.75,3.25,0,64
"100",1.5,1,1,1,1,3,4,6,5,6,0,1
"100",2.1,2,2,3,2,3,5,5,4,4,0,200
"100",2.2,2,2,3,4,1,6,5,5,3,1,40
"100",2.3,5,6,3,5,1,3,5,3,2,0,20
"100",2.4,5,7,5,6,1,3,1,1,1,0,40
"100",2.5,5,6,5,5,2,2,3,1,2,0,30
"100",3.1,5,5,6,5,1,1,1,1,2,0,25
"100",3.2,5,6,6,5,1,1,2,1,1,0,1
"100",3.3,5,6,5,6,1,1,1,1,1,0,7
"100",3.4,7,7,7,7,1,1,1,1,1,0,25
"100",3.5,6,6,5,6,1,1,1,1,1,0,30
"100",4.1,5,5,5,5,1,2,1,1,3,1,30
"100",4.2,5,5,4,4,2,1,2,1,2,1,30
"100",4.3,5,5,5,5,1,1,2,1,3,0,25
"100",4.4,5,6,6,6,1,1,1,1,1,0,50
"100",4.5,6,6,5,6,1,2,1,1,1,0,40
"100",5.1,3,4,3,4,1,1,4,2,3,0,60
"100",5.2,6,7,6,6,1,1,1,1,2,0,60
"100",5.3,6,6,5,5,1,1,1,1,2,0,90
"100",5.4,6,6,6,5,1,1,1,1,2,0,1
"100",5.5,4,3,3,4,1,2,2,1,2,1,25
"100",6.1,4,2,2,2,2,4,4,1,4,1,20
"100",6.2,4,4,4,4,1,2,1,1,3,1,25
"100",6.3,5,5,6,5,1,1,1,1,1,1,40
"100",6.4,5,5,5,5,1,1,2,1,2,0,90
"100",6.5,3,3,3,3,3,5,4,2,3,0,1
"100",7.1,6,6,6,6,1,1,1,1,1,1,45
"100",7.2,6,5,5,5,1,1,1,1,1,1,60
"100",7.3,5,7,7,4,1,1,2,1,1,0,40
"100",7.4,3,3,3,3,1,5,4,1,4,1,30
"100",7.5,5,6,5,6,1,2,2,1,2,0,40
"100",8.1,4,3,4,3,1,3,5,3,4,0,1
"100",8.2,6,6,6,5,1,1,1,1,1,0,45
"100",8.3,5,5,5,6,1,1,2,1,2,0,45
"100",8.4,5,5,5,6,1,1,1,1,1,1,60
"100",8.5,3,3,3,3,1,3,5,3,4,0,35
"100",9.1,5,6,5,5,2,1,2,1,2,0,30
"100",9.2,5,5,4,4,1,2,3,1,3,0,60
"100",9.3,3,5,3,2,1,6,2,2,2,1,60
"100",9.4,5,6,6,6,1,1,1,1,1,0,40
"100",9.5,7,7,7,7,1,1,1,1,1,0,45
"100",10.1,3,2,2,3,1,4,3,3,4,0,30
"100",10.2,5,5,5,5,1,1,2,1,2,0,60
"100",10.3,5,6,5,5,1,1,2,1,2,0,50
"100",10.4,6,6,6,6,1,1,1,1,2,0,90
"100",10.5,6,6,5,6,1,1,2,1,1,0,50
"100",11.1,3,3,2,3,1,6,2,2,2,1,60
"100",11.2,5,6,5,5,1,2,1,1,1,1,90
"100",11.3,3,2,3,4,1,3,4,2,3,1,30
"100",11.4,6,5,5,5,1,1,2,1,2,1,45
"100",11.5,3,3,2,4,1,5,4,3,2,1,30
"100",12.1,1,1,1,1,1,5,7,7,5,1,60
"100",12.2,1,1,1,2,1,4,7,7,4,1,1
"100",12.3,1,1,1,2,1,4,6,7,4,1,1
"100",12.4,1,1,1,1,1,7,7,5,5,1,60
"100",12.5,1,1,1,1,1,7,7,6,5,0,5
"100",13.1,1,1,1,1,1,7,7,7,7,1,1
"100",13.2,1,1,1,1,1,6,6,5,3,1,1
"100",13.3,2,2,2,3,1,6,2,4,2,1,60
"100",13.4,3,2,1,5,1,6,3,3,2,1,90
"100",13.5,3,2,3,5,1,3,2,2,1,1,30
"100",14.1,3,4,2,3,1,4,4,3,4,1,40
"100",14.2,4,4,4,3,2,2,2,2,4,0,30
"100",14.3,4,4,3,3,1,3,5,3,4,0,25
"100",14.4,4,5,5,5,1,3,3,1,2,0,60
"100",14.5,6,5,5,6,1,1,1,1,1,0,45
