"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"17",1.1,5,3,3,5,1,5,3,3,3,1,20
"17",1.2,5,1,2,6,1,1,1,1,1,0,5
"17",1.3,5.5,3,4,6,1,2,1.75,1.5,1.5,0.25,14
"17",1.4,6,3,5,6,1,1,2,1,1,0,1
"17",1.5,6,5,6,7,1,1,1,1,1,0,30
"17",2.1,7,6,7,5,1,1,1,1,4,0,20
"17",2.2,7,6,5,5,1,1,1,1,1,0,20
"17",2.3,5,3,4,6,1,1,1,1,1,0,1
"17",2.4,5,3,5,6,1,1,1,1,1,0,5
"17",2.5,5,5,4,7,1,1,1,1,1,0,1
"17",3.1,7,6,7,5,1,1,1,1,4,0,20
"17",3.2,6,6,5,5,2,1,1,1,3,0,1
"17",3.3,6,6,4,6,2,1,1,1,1,0,1
"17",3.4,5,4,6,6,1,1,1,1,1,0,5
"17",3.5,5,1,2,5,1,1,4,1,4,1,1
"17",4.1,5,4,4,6,1,1,1,1,1,0,1
"17",4.2,5,5,6,4,1,1,1,1,1,0,45
"17",4.3,5,4,4,6,1,1,1,1,1,0,1
"17",4.4,5,4,5,6,1,1,1,1,1,0,1
"17",4.5,6,4,5,5,1,1,1,1,1,0,30
"17",5.1,7,6,6,5,6,1,1,1,1,0,20
"17",5.2,6.5,5,5.5,5,3.5,1,1,1,1,0,25
"17",5.3,6,5,5,5.5,3.5,1,1,1,1,0,25
"17",5.4,5.5,4.5,4.5,6,1,1,1,1,1,0,30
"17",5.5,5,4,4,6,1,1,1,1,1,0,30
"17",6.1,6,5,5,6,1,1,1,1,1,0,30
"17",6.2,5,4,4,7,1,1,1,1,1,0,20
"17",6.3,6,1,4,6,1,1,1,1,1,0,1
"17",6.4,6,5,3,6,1,1,1,1,1,0,90
"17",6.5,5,3,4,6,1,1,1,1,1,0,20
"17",7.1,6,6,5,5,1,1,1,1,1,0,20
"17",7.2,6,6,6,6,1,1,1,1,1,0,20
"17",7.3,7,6,6,7,1,1,1,1,1,0,45
"17",7.4,6,4,4,6,1,1,1,1,1,0,20
"17",7.5,6,4,4,6,1,1,1,1,1,0,1
"17",8.1,5,3,3,5,1,1,1,1,1,0,1
"17",8.2,5,4,3,6,1,1,1,1,1,0,30
"17",8.3,5,3,5,6,1,1,1,1,1,0,60
"17",8.4,5,3,4,6,1,1,1,1,1,0,25
"17",8.5,5,5,4,4,1,1,1,1,1,0,1
"17",9.1,5,4,4,6,1,1,1,1,1,0,40
"17",9.2,6,4,4,5,1,1,2,1,1,1,20
"17",9.3,5,3,4,6,1,1,1,1,1,0,1
"17",9.4,5,4,4,6,1,1,1,1,1,0,40
"17",9.5,6,1,4,6,1,1,1,1,1,0,90
"17",10.1,6,6,4,5,1,1,1,1,1,0,60
"17",10.2,6,6,5,6,1,1,1,1,1,0,20
"17",10.3,6,4,5,6,1,1,1,1,1,0,30
"17",10.4,6,4,4,6,1,1,1,1,1,0,60
"17",10.5,6,3,4,7,1,1,1,1,1,1,40
"17",11.1,6,5,4,7,1,1,1,1,1,0,20
"17",11.2,5,3,4,7,1,1,1,1,1,0,30
"17",11.3,6,3,4,7,1,1,1,1,1,0,60
"17",11.4,5,3,4,7,1,1,1,1,1,0,60
"17",11.5,6,4,4,5,1,1,1,1,1,0,20
"17",12.1,5,3,4,5,1,1,1,1,1,1,1
"17",12.2,4.25,3.25,3.25,4.75,1,1,2.25,2,1.75,0.5,15.25
"17",12.3,2,3,1,4,1,1,6,5,4,1,20
"17",12.4,4,3,4,5,1,1,1,1,1,0,20
"17",12.5,5,2,3,6,1,1,1,1,1,0,90
"17",13.1,6,6,4,5,1,1,1,1,1,0,40
"17",13.2,6,6,5,5,1,1,1,1,1,0,40
"17",13.3,5,5,4,6,1,1,1,1,1,0,1
"17",13.4,6,4,4,5,1,1,1,1,1,0,30
"17",13.5,6,3,5,5,1,1,1,1,1,0,40
"17",14.1,5,5,4,6,1,1,1,1,1,0,40
"17",14.2,7,6,5,6,1,1,1,1,1,0,1
"17",14.3,6,5,3,6,1,1,1,1,1,0,30.25
"17",14.4,7,5,5,7,1,1,1,1,1,0,20
"17",14.5,7,3,3,7,1,1,1,1,1,0,60
