"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"54",1.1,4,3,5,5,3,1,1,1,3,1,30
"54",1.2,4,4,3,2,2,1,1,1,3,0,1
"54",1.3,5,5,4,4,1,1,1,1,2,0,30
"54",1.4,3,3,3,1,3,1,1,1,5,0,1
"54",1.5,3,3,2,3,3,1,1,1,4,1,20
"54",2.1,3,4,4,2,2,1,1,1,3,1,40
"54",2.2,4,3,3,4,3,1,1,1,3,0,30
"54",2.3,3,4,2,2,4,1,1,1,4,0,20
"54",2.4,2,2,2,1,4,2,1,1,6,0,45
"54",2.5,4,3,3,4,3,3,1,1,4,0,20
"54",3.1,3,3,3,4,4,2,2,1,4,1,20
"54",3.2,3,3,3,3,4,2,1,1,5,1,20
"54",3.3,4,4,2,2,3,1,1,1,4,1,30
"54",3.4,4,4,4,2,3,1,1,1,5,0,20
"54",3.5,4,3,4,5,3,1,1,1,4,0,30
"54",4.1,3,3,5,3,3,1,1,1,4,0,90
"54",4.2,3,4,3,2,2,1,1,1,4,0,20
"54",4.3,3,2,2,4,3,1,1,1,3,0,1
"54",4.4,3,3,2,5,3,1,1,1,3,0,30
"54",4.5,4,3,4,3,2,1,1,1,3,0,45
"54",5.1,3,3,3,4,3,2,1,1,5,0,2
"54",5.2,3,3,2,3,2,1,1,1,3,0,30
"54",5.3,3,3,3,3,4,1,2,1,4,0,30
"54",5.4,2,3,2,3,3,1,1,1,5,0,1
"54",5.5,3,2,3,2,3,1,1,1,3,0,45
"54",6.1,2,4,2,2,3,1,1,1,4,0,50
"54",6.2,3,1,2,1,5,1,1,1,6,0,30
"54",6.3,4,4,4,4,1,1,1,1,3,0,30
"54",6.4,7,5,7,7,1,1,1,1,1,0,1
"54",6.5,5,3,7,7,1,1,1,1,1,0,90
"54",7.1,5,2,3,3,1,1,2,1,1,0,2
"54",7.2,4.75,3,4.5,4.75,1,1,1.25,1,1,0,31
"54",7.3,4,3,4,4,1,1,1,1,1,0,2
"54",7.4,5,4,4,5,1,1,1,1,1,0,30
"54",7.5,4.25,3,3.75,4.25,1,1,1,1,1.5,0,8.75
"54",8.1,4,3,4,3,1,1,1,1,2,0,2
"54",8.2,4,2,3,5,1,1,1,1,2,0,1
"54",8.3,4,3,4,5,2,1,1,1,3,0,1
"54",8.4,5,3,4,5,2,1,1,1,2,0,45
"54",8.5,5,3,5,6,2,1,1,1,1,0,30
"54",9.1,4,4,3,4,2,1,1,1,4,0,2
"54",9.2,3,2,4,4,1,1,1,1,3,0,45
"54",9.3,4,2,4,4,2,1,1,1,3,0,20
"54",9.4,5,4,4,5,1,1,1,1,2,1,1
"54",9.5,3,2,3,4,2,4,1,1,2,0,1
"54",10.1,4,4,3,3,3,1,1,1,1,0,1
"54",10.2,4,3,4,3,2,1,1,1,2,1,5
"54",10.3,4,3.5,3.5,3.75,2,1,1,1,2.25,0.25,9.25
"54",10.4,4,3,3,4,2,1,1,1,3,0,1
"54",10.5,4,4,4,5,1,1,1,1,3,0,30
"54",11.1,3,3,2,5,1,1,1,1,2,0,2
"54",11.2,5,2,3,4,1,1,1,1,2,0,30
"54",11.3,4.25,3.75,3.5,4.25,1.25,1,1,1,2,0,28
"54",11.4,4,5,5,5,2,1,1,1,2,0,30
"54",11.5,5,5,4,3,1,1,1,1,2,0,50
"54",12.1,5,3,5,1,2,1,1,1,3,0,2
"54",12.2,5,2,3,5,3,1,1,1,2,0,5
"54",12.3,4.5,2.5,4,3.5,1.75,1.5,1,1,2.25,0,19.25
"54",12.4,4,3,4,4,1,2,1,1,2,0,20
"54",12.5,4,2,4,4,1,2,1,1,2,0,50
"54",13.1,4,2.75,3.5,4.25,1.25,1.5,1,1,2,0,23
"54",13.2,4,4,3,5,1,1,1,1,2,0,2
"54",13.3,4,2,3,4,2,1,1,1,2,0,20
"54",13.4,4,3,3,5,1,1,1,1,2,0,30
"54",13.5,4,3,4,5,1,1,1,1,2,0,50
"54",14.1,2,2,2,2,1,1,1,1,3,0,5
"54",14.2,2,1,1,3,2,1,1,1,3,0,2
"54",14.3,3,1,2,3,3,1,1,1,2,0,5
"54",14.4,3,3,3,4,2,1,1,1,2,0,20
"54",14.5,3,1,2,3,2,2,1,1,2,0,30
