"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"31",1.1,4,1,3,5,2,2,1,1,3,0,1
"31",1.2,3,1,1,2,2,2,4,2,4,0,60
"31",1.3,2,1,1,2,2,3,3,2,2,0,90
"31",1.4,2,1,1,1,1,4,5,3,4,0,85
"31",1.5,2,1,1,5,1,2,6,5,6,0,1
"31",2.1,4,3,3,5,1,3,1,1,2,1,1
"31",2.2,4,2,1,3,1,3,1,1,2,0,90
"31",2.3,3,2,1,2,1,3,5,1,5,0,1
"31",2.4,3,1,1,3,1,4,4,1,4,0,1
"31",2.5,4,1,5,5,1,3,1,1,1,0,1
"31",3.1,3.33333333333333,1.66666666666667,2.66666666666667,4,2,3,2,1,3,0.333333333333333,100.666666666667
"31",3.2,4,2.33333333333333,3.33333333333333,4.33333333333333,2,2,1,1,2.33333333333333,0.333333333333333,102
"31",3.3,3,3,2,4,4,2,1,1,4,1,300
"31",3.4,5,3,3,4,1,1,1,1,2,0,5
"31",3.5,5,4,5,5,1,2,1,1,1,1,45
"31",4.1,3,1,1,3,2,2,2,1,3,0,1
"31",4.2,4,5,3,4,1,3,1,1,2,1,30
"31",4.3,5,4,5,5,1,2,1,1,1,0,60
"31",4.4,3,1,3,3,2,3,2,2,3,0,60
"31",4.5,5,5,6,5,2,1,2,1,2,0,40
"31",5.1,4,2,4,6,1,2,3,2,2,0,60
"31",5.2,5,4,4,5,1,2,1,1,2,0,1
"31",5.3,6,4,5,2,1,1,1,1,1,0,20
"31",5.4,5,2,4,5,1,1,1,2,2,0,60
"31",5.5,4,1,4,2,6,2,1,3,5,0,30
"31",6.1,4,2,4,4,1,3,3,2,1,0,1
"31",6.2,5,4,4,6,1,3,2,1,3,0,30
"31",6.3,4,3,4,4,1,4,2,1,2,0,90
"31",6.4,5,5,4,5,1,2,1,1,1,0,60
"31",6.5,5,5,4,5,2,1,1,1,3,1,1
"31",7.1,2,1,1,1,4,3,5,2,5,0,200
"31",7.2,3,3,3,2,5,5,2,2,5,0,60
"31",7.3,2,2,3,3,5,4,4,3,5,0,30
"31",7.4,3,3,2,4,3,5,4,2,4,0,90
"31",7.5,4,4,5,5,3,2,1,1,4,0,90
"31",8.1,1,2,1,1,2,5,3,4,5,0,200
"31",8.2,1,1,1,2,2,6,3,2,4,0,1
"31",8.3,1,1,1,1,3,5,4,2,5,0,1
"31",8.4,1,1,1,2,3,5,3,3,4,0,1
"31",8.5,3,1,2,3,3,5,4,1,4,0,1
"31",9.1,2,1,2,3,2,5,4,2,4,0,1
"31",9.2,3,1,1,3,2,5,4,2,4,0,1
"31",9.3,2,1,1,1,2,5,4,2,4,0,1
"31",9.4,2,1,1,1,2,5,5,2,5,0,1
"31",9.5,2,2,1,4,4,4,3,3,3,0,1
"31",10.1,3,1,3,4,1,5,1,1,3,0,1
"31",10.2,3,1,4,3,1,4,3,2,4,0,1
"31",10.3,4,1,5,5,2,2,3,1,2,0,1
"31",10.4,3,2,2,3,1,4,1,1,4,0,60
"31",10.5,3.75,1.5,3.25,4,1.75,3.5,1.5,1.5,2,0,15.75
"31",11.1,4,2,3,4,3,4,1,3,1,0,1
"31",11.2,4,1,3,4,1,4,1,1,1,0,1
"31",11.3,4,1,2,2,1,3,1,2,1,0,90
"31",11.4,4,1,1,4,1,4,3,1,1,0,1
"31",11.5,4,4,4,5,2,2,1,1,1,0,40
"31",12.1,4.25,1.75,3.5,5,1.25,2.5,1.75,1,1,0,36.5
"31",12.2,4,1,4,5,1,3,2,1,1,0,45
"31",12.3,5,1,5,6,1,1,1,1,1,0,60
"31",12.4,7,3,6,7,1,1,1,1,1,0,1
"31",12.5,6,2,4,6,1,2,1,1,1,0,60
"31",13.1,5,3,2,5,1,1,1,1,1,1,60
"31",13.2,3,1,2,4,1,4,4,1,3,0,60
"31",13.3,4,2,3,4,2,4,1,1,1,0,1
"31",13.4,6,4,5,4,1,2,1,1,1,0,1
"31",13.5,4,3,4,4,1,3,1,1,1,0,1
"31",14.1,4,1,3,4,2,5,1,1,1,0,60
"31",14.2,4,1,1,5,1,4,3,1,3,0,1
"31",14.3,4,1,2,3,2,5,4,2,5,0,60
"31",14.4,2,1,1,1,1,3,1,2,4,0,60
"31",14.5,4,1,4,3,1,4,2,3,4,0,42
