"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"90",1.1,4,3,2,1,5,5,4,3,5,1,1
"90",1.2,3,1,2,1,4,5,5,5,6,1,240
"90",1.3,5,5,5,5,3,4,3,2,2,0,35
"90",1.4,4,4,4,4,6,5,4,2,6,1,1
"90",1.5,5,5,6,5,2,2,2,2,2,0,5
"90",2.1,1,1,2,1,2,6,7,5,6,1,1
"90",2.2,5,5,6,5,2,3,2,2,2,0,5
"90",2.3,5,4,5,3,5,3,4,2,4,0,45
"90",2.4,2,2,2,3,3,6,5,5,5,1,45
"90",2.5,2,5,2,2,7,5,6,2,6,0,7
"90",3.1,1,2,2,2,5,7,2,2,5,1,45
"90",3.2,1,1,1,2,2,6,3,2,2,1,7
"90",3.3,1,2,2,3,2,6,2,2,3,1,20
"90",3.4,2,2,4,2,2,6,3,2,4,1,35
"90",3.5,5,5,5,2,2,4,2,3,4,0,40
"90",4.1,2,2,2,3,4,6,2,3,2,1,30
"90",4.2,1,2,1,2,3,7,2,3,4,1,7
"90",4.3,2,1,1,2,2,7,2,2,2,1,7
"90",4.4,1,2,2,2,5,6,4,2,4,1,45
"90",4.5,1,1,1,1,2,7,6,7,6,1,60
"90",5.1,5,6,5,3,5,3,2,2,2,0,60
"90",5.2,4,2,3,2,3,5,2,2,5,1,30
"90",5.3,5,5,5,2,2,4,4,1,5,0,80
"90",5.4,4,4,4,5,2,4,2,2,2,1,65
"90",5.5,5,5,5,3,5,4,5,2,6,0,7
"90",6.1,1,1,1,1,2,7,2,5,4,1,240
"90",6.2,1,1,1,1,2,7,2,1,2,1,300
"90",6.3,1,1,1,1,1,7,3,2,3,1,325
"90",6.4,1,1,1,1,1,7,2,3,3,1,400
"90",6.5,1,2,2,2,2,7,5,5,5,0,40
"90",7.1,1,1,1,2,2,7,2,1,2,1,60
"90",7.2,1,1,1,1,2,7,4,4,4,1,7
"90",7.3,2,3,3,2,6,7,3,2,4,1,1
"90",7.4,1,1,1,4,2,7,2,3,3,1,50
"90",7.5,1,1,1,3,3,7,4,3,4,1,1
"90",8.1,1,2,3,3,2,7,4,2,2,0,1
"90",8.2,1,1,1,1,1,7,5,5,4,1,7
"90",8.3,1,1,1,2,1,7,4,5,4,1,45
"90",8.4,1,1,4,4,1,7,2,2,2,1,80
"90",8.5,1,1,1,1,2,7,2,2,4,1,30
"90",9.1,1,1,1,1,1,7,3,3,3,1,7
"90",9.2,1,1,1,1,1,7,4,6,5,1,7
"90",9.3,1,1,1,1,2,7,5,6,4,1,80
"90",9.4,2,2,2,2,1,7,4,4,4,0,45
"90",9.5,1,1,1,1,1,7,3,4,4,1,1
"90",10.1,1,1,1,1,1,7,1,5,3,1,40
"90",10.2,1,1,1,1,1,7,2,5,4,1,60
"90",10.3,1,1,2,1,1,7,5,6,4,1,1
"90",10.4,3,1,3,1,1,5,5,5,5,1,45
"90",10.5,3,1,3,4,1,6,2,2,2,1,40
"90",11.1,1,1,1,3,5,7,2,2,2,1,60
"90",11.2,3,2,3,4,1,6,3,4,2,1,1
"90",11.3,1,1,1,2,1,7,2,2,2,1,45
"90",11.4,1,1,1,1,2,6,6,4,5,0,1
"90",11.5,3,2,5,2,1,6,2,2,2,0,40
"90",12.1,2,1,1,1,4,6,5,4,6,0,60
"90",12.2,3,3,3,4,1,6,2,2,1,1,1
"90",12.3,3,2,3,4,2,6,1,2,4,0,1
"90",12.4,2,1,2,2,4,7,4,2,5,1,45
"90",12.5,1,1,1,3,1,7,1,2,4,1,60
"90",13.1,1,2,2,2,5,6,2,2,4,1,40
"90",13.2,2,2,2,2,3,7,2,2,2,1,80
"90",13.3,3,2,2,4,2,6,2,2,2,0,30
"90",13.4,1,1,2,2,1,6,2,3,4,1,60
"90",13.5,1,1,1,3,2,7,3,5,4,1,45
"90",14.1,1,1,1.25,2,2.25,6.75,2.25,2.75,3.75,1,28.25
"90",14.2,1,1,1,1,5,7,3,2,4,1,1
"90",14.3,1,1,1,2,1,7,1,1,3,1,7
"90",14.4,1,1,1,3,3,6,2,2,4,1,80
"90",14.5,1,2,1,2,4,7,3,2,3,1,45
