"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"95",1.1,5,5.5,5,6,1,1,1,1,1,0.5,15.5
"95",1.2,4,5,4,6,1,1,1,1,1,0,1
"95",1.3,6,6,6,6,1,1,1,1,1,1,30
"95",1.4,7,7,7,6,1,1,1,1,1,0,1
"95",1.5,5,5,5,6,1,2,1,1,1,0,5
"95",2.1,4,4,3,5,1,1,1,1,1,0,30
"95",2.2,7,7,6,5,1,1,1,1,1,1,1
"95",2.3,7,7,7,7,1,1,1,1,1,0,1
"95",2.4,7,7,7,7,1,1,1,1,1,0,240
"95",2.5,6,7,7,7,1,1,1,1,1,0,360
"95",3.1,4,3,3,4,2,1,1,1,4,0,30
"95",3.2,5,3,4,4,2,1,1,1,3,0,60
"95",3.3,2,3,2,2,5,1,2,1,5,1,1
"95",3.4,4,2,4,3,2,1,2,1,5,0,90
"95",3.5,4,4,4,6,1,1,1,1,2,1,20
"95",4.1,1,1,1,1,5,4,5,5,5,0,7
"95",4.2,1,1,1,1,6,1,5,4,6,0,1
"95",4.3,2,1,2,2,5,2,5,5,6,0,1
"95",4.4,1.75,1.5,2.25,2,5,2,4.25,3.75,5.75,0.25,34.25
"95",4.5,3,2,5,3,3,4,6,5,5,1,95
"95",5.1,1,2,1,2,6,1,1,1,6,0,40
"95",5.2,2,2,2,2,5,1,2,1,5,0,90
"95",5.3,3,3,5,4,2,1,1,1,4,0,60
"95",5.4,6,3,5,6,1,1,1,1,1,0,20
"95",5.5,3.66666666666667,3,4,4,2.66666666666667,1,1,1,3,0,40
"95",6.1,2,3,2,2,5,1,1,1,4,0,40
"95",6.2,3.5,4,4,4,3.5,1,1,1,3,0,20.5
"95",6.3,3.5,4,4,4,3.5,1,1,1,3,0,20.5
"95",6.4,5,5,6,6,2,1,1,1,2,0,1
"95",6.5,5,3.5,5.5,6.5,1.5,1,1,1,1.5,0,3
"95",7.1,5,2,5,7,1,1,1,1,1,0,5
"95",7.2,6,4.33333333333333,6,7,1,1,1,1,1,0,23.3333333333333
"95",7.3,6,4,6,7,1,1,1,1,1,0,20
"95",7.4,7,7,7,7,1,1,1,1,1,0,45
"95",7.5,5,4,5,7,1,1,1,1,1,0,60
"95",8.1,6,5,6,6,1,1,1,1,1,0,20
"95",8.2,5,5,5,6,1,1,1,1,1,0,30
"95",8.3,6,5,6,6,1,1,1,1,1,1,30
"95",8.4,5,2,6,7,1,1,1,1,1,0,60
"95",8.5,5.25,4,5.5,6.25,1,1,1,1,1,0.25,33
"95",9.1,4,3,4,6,1,1,1,1,1,0,35
"95",9.2,6,6,6,6,1,1,1,1,1,0,7
"95",9.3,6,5,6,6,1,1,1,1,1,0,1
"95",9.4,6,5,6,5,1,1,1,1,1,0,240
"95",9.5,6,5,6,6,1,1,1,1,1,1,45
"95",10.1,5,7,5,4,1,1,1,1,1,1,45
"95",10.2,6,7,6,7,1,1,1,1,1,0,60
"95",10.3,6,6,6,6,1,1,1,1,1,0,1
"95",10.4,7,7,7,7,1,1,1,1,1,0,240
"95",10.5,7,7,7,6,1,1,1,1,1,0,360
"95",11.1,6,6,6,6,1,1,1,1,1,1,90
"95",11.2,6,6,6,6,1,1,1,1,1,0,1
"95",11.3,6.33333333333333,6.33333333333333,6.33333333333333,6.33333333333333,1,1,1,1,1,0.333333333333333,30.6666666666667
"95",11.4,7,7,7,7,1,1,1,1,1,0,1
"95",11.5,6.66666666666667,7,6.66666666666667,6.66666666666667,1,1,1,1,1,0,40.3333333333333
"95",12.1,6,7,6,6,1,1,1,1,1,0,30
"95",12.2,7,7,7,7,1,1,1,1,1,0,90
"95",12.3,6,6,6,6,1,1,1,1,1,0,45
"95",12.4,6,7,7,5,1,1,1,1,1,0,60
"95",12.5,7,7,7,7,1,1,1,1,1,0,300
"95",13.1,6,6,6,4,2,1,1,1,2,0,60
"95",13.2,7,7,7,7,1,1,1,1,1,0,60
"95",13.3,7,7,7,6,1,1,1,1,1,0,45
"95",13.4,7,7,7,7,1,1,1,1,1,1,30
"95",13.5,6,5,6,5,1,1,1,1,1,0,60
"95",14.1,5,4,4,6,1,1,1,1,1,0,1
"95",14.2,6,6,6,7,1,1,1,1,1,1,60
"95",14.3,6,6,6,6,1,1,1,1,1,1,60
"95",14.4,7,7,6,6,1,1,1,1,1,0,60
"95",14.5,6,6,6,6,1,1,1,1,1,0,1
