"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"46",1.1,4,2,2,3,4,3,5,2,5,0,20
"46",1.2,4,4,4,5,3,2,2,1,2,0,1
"46",1.3,5,4,4,5,3,1,1,1,2,0,60
"46",1.4,4,3,3,4,3,2,3,1,2,0,1
"46",1.5,5,5,6,5,2,1,2,1,2,1,5
"46",2.1,4,3,3,4,3,2,2,1,2,0,25
"46",2.2,5,4,3,5,2,2,1,1,2,0,5
"46",2.3,6,6,5,6,2,1,1,1,1,0,60
"46",2.4,4,4,4,4,3,2,3,1,3,1,1
"46",2.5,4,4,4,5,2,3,2,1,2,1,1
"46",3.1,2,5,1,2,5,2,5,2,4,0,5
"46",3.2,6,5,5,6,2,1,1,1,1,0,1
"46",3.3,4,4,4,4,3,2,3,1,2,0,1
"46",3.4,4,4,4,6,2,2,1,1,1,0,1
"46",3.5,2,2,2,2,5,2,3,2,5,1,2
"46",4.1,5,5,5,5,3,1,1,1,2,0,20
"46",4.2,5,6,5,4,2,2,2,1,2,0,20
"46",4.3,5,5,5,4,2,1,1,1,2,0,1
"46",4.4,3,2,3,3,5,2,2,2,4,0,1
"46",4.5,5,3,5,5,3,1,3,1,2,0,25
"46",5.1,5,4,4,3,5,2,2,1,3,0,5
"46",5.2,6,6,6,5,2,2,1,1,1,0,5
"46",5.3,4,5,4,4,3,2,2,2,2,1,5
"46",5.4,6,6,6,5,2,2,1,1,1,1,30
"46",5.5,5,4,5,5,3,1,1,1,2,0,1
"46",6.1,3,4,3,4,1,2,1,1,1,0,20
"46",6.2,3,4,3,3,4,2,2,2,4,1,25
"46",6.3,4,4,2,3,3,2,3,2,4,0,1
"46",6.4,4,2,4,3,4,2,3,2,3,0,20
"46",6.5,2,1,2,3,3,2,5,4,4,0,50
"46",7.1,4,5,4,4,3,2,2,2,2,0,1
"46",7.2,5,3,5,4,3,1,3,2,2,0,25
"46",7.3,4,3,4,5,2,3,2,1,2,0,5
"46",7.4,5,5,5,4,3,1,3,2,2,0,1
"46",7.5,4,5,5,2,2,1,4,3,3,0,20
"46",8.1,3,2,2,3,4,1,5,2,3,0,1
"46",8.2,5,5,5,5,2,1,2,1,2,1,25
"46",8.3,5,3,4,5,3,2,3,1,2,0,20
"46",8.4,5,3,5,5,2,1,1,1,2,0,1
"46",8.5,5,3,5,5,2,1,4,1,2,0,25
"46",9.1,3,2,2,1,3,2,6,2,3,0,1
"46",9.2,5,3,4,5,3,5,2,2,2,1,30
"46",9.3,3,1,2,4,3,5,3,2,2,0,20
"46",9.4,4,2,3,4,2,3,4,2,2,0,1
"46",9.5,3,1,3,5,2,5,2,2,2,1,30
"46",10.1,6,5,4,4,3,3,4,3,3,1,1
"46",10.2,6,5,5,5,2,1,1,1,2,0,30
"46",10.3,6,5,5,5.25,2.25,2,2,1.75,1.75,0.25,25.25
"46",10.4,6,5,6,6,2,1,1,1,1,0,40
"46",10.5,6,5,5,6,2,3,2,2,1,0,30
"46",11.1,5.66666666666667,4.66666666666667,5.33333333333333,6,2,2.33333333333333,1.66666666666667,1.33333333333333,1.33333333333333,0,38.3333333333333
"46",11.2,5.33333333333333,4,5,5.66666666666667,2.33333333333333,3,2,1.33333333333333,1.66666666666667,0,33.3333333333333
"46",11.3,5,4,5,6,2,3,2,1,2,0,45
"46",11.4,5,3,5,5,3,3,2,1,2,0,25
"46",11.5,5,3,5,6,2,3,2,1,2,1,20
"46",12.1,5,5,6,6,2,2,1,1,1,0,60
"46",12.2,5,3,5,4,3,5,1,1,2,1,5
"46",12.3,5,4,5,6,2,2,1,1,1,0,1
"46",12.4,5,3,5,5,3,3,1,2,2,0,1
"46",12.5,6,3,5,6,2,1,1,1,1,0,60
"46",13.1,5,5,5,5,4,3,2,1,2,0,40
"46",13.2,5,4,5,4,4,2,2,1,2,0,60
"46",13.3,5,5,5,5,2,2,2,1,2,1,20
"46",13.4,3,2,2,3,5,4,5,3,4,1,1
"46",13.5,3,3,3,5,2,5,3,2,2,1,40
"46",14.1,5,4,5,5,3,2,1,1,2,0,1
"46",14.2,5,5,5,5,2,4,2,2,1,0,1
"46",14.3,5,3,5,6,2,1,2,1,1,0,60
"46",14.4,2,1,2,3,3,5,7,6,5,1,20
"46",14.5,6,5,6,6,3,1,2,1,1,0,1
