"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"23",1.1,1,2,1,3,5,5,4,4,5,1,1
"23",1.2,4,3,2,3,2,4,1,1,2,0,60
"23",1.3,5,5,4,3,2,2,4,1,3,0,30
"23",1.4,2,2,2,1,5,7,6,5,6,1,60
"23",1.5,1,1,1,3,1,4,6,4,7,1,60
"23",2.1,3,1,1,4,1,5,6,4,6,0,1
"23",2.2,5,2,2,2,3,5,3,2,5,1,60
"23",2.3,4,2,1,1,5,5,5,3,5,1,1
"23",2.4,4,2,1,1,6,5,2,3,6,1,60
"23",2.5,1,1,1,2,1,4,1,1,1,0,25
"23",3.1,2.33333333333333,1.33333333333333,1,3,4.33333333333333,3.66666666666667,2.33333333333333,2.66666666666667,4.33333333333333,0.666666666666667,28.6666666666667
"23",3.2,2,1,1,6,6,2,4,4,6,1,1
"23",3.3,1.5,1,1,4,3.5,3,2.5,2.5,3.5,0.5,13
"23",3.4,1.5,1,1,6,3.5,3.5,5.5,5.5,4.5,0.5,1
"23",3.5,1.5,1,1,6,3.5,3.5,5.5,5.5,4.5,0.5,1
"23",4.1,1.5,1.5,1.5,4.5,3.5,5,6.5,5,4.5,0.5,1
"23",4.2,1,1,1,6,1,5,7,7,3,0,1
"23",4.3,1.33333333333333,1.66666666666667,1.33333333333333,3.33333333333333,4.33333333333333,5.33333333333333,6.33333333333333,5.33333333333333,5.33333333333333,0.666666666666667,1
"23",4.4,2,2,2,3,6,5,6,3,6,1,1
"23",4.5,1,2,1,1,6,6,6,6,7,1,1
"23",5.1,1.5,2,1.5,2,6,5.5,6,4.5,6.5,1,1
"23",5.2,1.5,2,1,1,5.5,6,6,6,7,1,105.5
"23",5.3,1.5,1.5,1.5,1,5.5,6,5.5,6,7,1,135
"23",5.4,2,2,1,1,5,6,6,6,7,1,210
"23",5.5,1,1,2,1,6,6,5,6,7,1,60
"23",6.1,5,5,5,4,2,3,2,2,3,0,60
"23",6.2,5,6,1,5,1,1,2,1,2,0,90
"23",6.3,6,6,5,5,3,2,2,2,2,0,60
"23",6.4,6,5,5,2,3,2,2,2,6,0,1
"23",6.5,2,2,2,2,5,6,6,5,6,1,60
"23",7.1,3,1,2,1,6,5,6,5,6,1,1
"23",7.2,2,2,2,2,6,5,3,2,6,1,1
"23",7.3,1,1,1,1,6,6,6,6,6,1,90
"23",7.4,1,1,2,1,2,5,2,1,3,1,40
"23",7.5,1,1,6,4,6,6,6,2,5,0,60
"23",8.1,1,4,1,1,7,5,4,2,7,1,60
"23",8.2,1,2.5,3.5,2.5,6.5,5.5,5,2,6,0.5,60
"23",8.3,3.5,5,3.5,3.5,7,3,3.5,1.5,6.5,0.5,75
"23",8.4,3.5,5,3.5,3.5,7,3,3.5,1.5,6.5,0.5,75
"23",8.5,6,6,6,6,7,1,3,1,6,0,90
"23",9.1,5.5,6,5.5,5.5,4.5,3,2.5,2,4,0.5,165
"23",9.2,5.5,6,5.5,5.5,4.5,3,2.5,2,4,0.333333333333333,165
"23",9.3,4.5,3.5,3.5,3,1.5,4.5,1.5,2,1.5,1,150
"23",9.4,5,6,5,5,2,5,2,3,2,0,240
"23",9.5,4,1,2,1,1,4,1,1,1,0,60
"23",10.1,4.33333333333333,3.33333333333333,3,3.66666666666667,1.66666666666667,4.33333333333333,2.33333333333333,2.33333333333333,2,0.333333333333333,193.333333333333
"23",10.2,4,2,2,3,1.5,4,2.5,2,2,0.5,170
"23",10.3,4,3,2,5,2,4,4,3,3,1,280
"23",10.4,5,3.5,2.5,5,2,3,2.5,2.5,2,0.5,140.5
"23",10.5,6,4,3,5,2,2,1,2,1,0,1
"23",11.1,4,5.33333333333333,3.33333333333333,3.66666666666667,4,4,3,3.66666666666667,3.66666666666667,0,20.6666666666667
"23",11.2,2,6,3,2,6,6,4,5,6,0,60
"23",11.3,4,6,4,4,4,4,4,4,4,0,1
"23",11.4,6,3,6,5,2,3,3,2,3,0,1
"23",11.5,2,1,1,1,6,5,2,3,5,1,90
"23",12.1,4,2,3.5,3,4,4,2.5,2.5,4,0.5,45.5
"23",12.2,4,2,3.5,3,4,4,2.5,2.5,4,0.5,45.5
"23",12.3,4,2,3.5,3,4,4,2.5,2.5,4,0.5,45.5
"23",12.4,3,2,3.5,3,4,5,2,2.5,3.5,0.5,175
"23",12.5,2.66666666666667,2.66666666666667,4,3.66666666666667,3.66666666666667,4.33333333333333,2,2.66666666666667,3.33333333333333,0.333333333333333,117
"23",13.1,3,3.5,5.5,5,2.5,4,2,2.5,2.5,0,130.5
"23",13.2,3,3.5,5.5,5,2.5,4,2,2.5,2.5,0,130.5
"23",13.3,4,3,6,5,2,5,2,2,2,0,260
"23",13.4,3,3.5,5.5,5,2.5,4,2,2.5,2.5,0,130.5
"23",13.5,2,4,5,5,3,3,2,3,3,0,1
"23",14.1,2,3,3.5,3.5,3,4,2,2.5,4,0.5,1
"23",14.2,2,2,2,2,3,5,2,2,5,1,1
"23",14.3,2,3,3.5,3.5,3,4,2,2.5,4,0.5,1
"23",14.4,2,3,3.5,3.5,3,4,2,2.5,4,0.5,1
"23",14.5,2,3,3.5,3.5,3,4,2,2.5,4,0.5,1
