"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"76",1.1,4,3,4,5,2,2,2,1,4,1,45
"76",1.2,5,5,5,5,1,1,1,1,2,1,60
"76",1.3,5,4,4,3,1,3,1,1,3,0,30
"76",1.4,4,5,5,4,2,1,2,1,3,1,1
"76",1.5,5,5,3,4,1,2,2,1,3,1,45
"76",2.1,4,4,5,2,2,2,2,1,3,0,90
"76",2.2,3,3,4,3,1,2,4,1,2,1,5
"76",2.3,4,2,3,4,3,4,1,1,3,1,1
"76",2.4,5,3,4,5,1,1,1,1,2,1,30
"76",2.5,6,5,6,6,1,1,1,1,1,1,1
"76",3.1,4,4,3,4,1,3,5,3,4,0,1
"76",3.2,4,3,2,3,4,3,3,2,5,1,20
"76",3.3,3,4,3,3,3,3,3,1,4,0,30
"76",3.4,3,2,3,3,2,5,3,1,5,0,5
"76",3.5,2,1,1,1,2,5,6,6,6,1,30
"76",4.1,4,1,4,5,1,2,2,1,2,1,1
"76",4.2,3,4,3,3,4,3,2,1,4,0,5
"76",4.3,4,3,4,4,2,2,2,1,4,1,5
"76",4.4,4,2,4,4,3,4,2,1,2,0,1
"76",4.5,4,3,4,3,1,2,2,1,2,0,1
"76",5.1,4.5,3,4,3.75,1.5,2.75,1.75,1,2.25,0.5,9.25
"76",5.2,4,3,4,4,1,1,2,1,4,1,30
"76",5.3,6,4,4,4,1,4,1,1,1,1,5
"76",5.4,4,2,5,6,1,1,1,1,2,0,5
"76",5.5,4,2,5,4,1,1,3,3,2,0,1
"76",6.1,3,2,2,2,1,7,3,2,5,1,20
"76",6.2,3,2,3,5,1,5,4,2,3,1,5
"76",6.3,3,3,4,5,1,2,2,1,3,1,1
"76",6.4,3,2,3,4,1,4,4,3,4,1,5
"76",6.5,5,3,3,5,1,2,3,2,3,0,2
"76",7.1,4,4,3,5,1,2,2,1,3,1,3
"76",7.2,3,3,2,3,2,3,3,1,3,1,2
"76",7.3,4,4,3,3,1,3,5,4,5,0,1
"76",7.4,1,2,1,2,1,6,5,5,5,1,1
"76",7.5,4,2,4,3,2,3,3,2,3,1,1
"76",8.1,3.25,2.75,3.5,3.75,1.5,3,2.75,2.25,3.25,0.75,9.25
"76",8.2,4,4,5,5,2,2,2,1,3,0,30
"76",8.3,4,3,4,5,1,1,1,1,2,1,5
"76",8.4,5,4,5,5,1,2,1,1,2,1,5
"76",8.5,5,4,5,4,1,1,2,2,3,0,5
"76",9.1,3,3,3,3,1,5,2,3,2,1,1
"76",9.2,3.25,2.5,3,3,1,3.75,3.25,3.5,3.5,0.5,2
"76",9.3,1,1,1,1,1,6,7,6,5,1,1
"76",9.4,4,2,3,4,1,3,2,3,4,0,1
"76",9.5,3,2,4,5,1,5,1,1,3,0,5
"76",10.1,4,3,4,4,2,3,2,1,4,0,2
"76",10.2,4,4,5,3,3,1,2,1,3,0,1
"76",10.3,3,4,4,4,2,1,2,1,2,1,2
"76",10.4,4,2,4,3,3,3,3,2,3,1,1
"76",10.5,5,3,4,5,3,2,1,1,1,1,5
"76",11.1,1,2,3,3,5,7,5,5,7,0,30
"76",11.2,4,3,3,4,3,4,2,3,5,1,1
"76",11.3,3,3,3,4,3,6,4,1,6,0,30
"76",11.4,3,3,3,4,3,4,4,4,5,1,1
"76",11.5,3,3,4,3,3,5,5,5,5,1,30
"76",12.1,3,3,3,4,3,5,1,1,5,1,30
"76",12.2,3.5,3,4,4,2,4,3.25,2.25,4.5,0.75,16.5
"76",12.3,3,2,4,4,1,4,5,2,5,1,5
"76",12.4,5,4,5,5,1,2,2,1,3,0,1
"76",12.5,5,5,4,5,1,2,2,1,2,0,1
"76",13.1,4,4,4,5,1,2,2,1,2,0,5
"76",13.2,4,5,5,4,2,2,1,1,2,0,1
"76",13.3,4,3,4,4,1,1,1,1,3,0,1
"76",13.4,4,3,3,5,1,2,1,1,2,0,5
"76",13.5,2,1,3,3,1,5,3,6,2,0,5
"76",14.1,4,3,2,5,2,5,2,2,3,0,1
"76",14.2,4,4,5,4,1,1,1,1,2,0,5
"76",14.3,4,3,2,3,2,1,1,1,3,0,5
"76",14.4,3,3,2,4,1,3,3,2,4,0,5
"76",14.5,4,3,4,5,1,3,1,1,3,1,1
