"moniker","time","Happy_e","Enthusiastic","Pleased","Relaxed","Nervous","Sad","Irritated","Angry","Stressed","MWoccur","EmotionChronometry"
"113",1.1,2,2,4,3,1,1,2,1,3,1,1
"113",1.2,4,1,4,1,1,1,6,2,6,0,60
"113",1.3,4,4,3,2,1,1,1,2,2,0,1
"113",1.4,3,2,2,2,3,1,5,1,6,1,30
"113",1.5,5,1,4,4,1,6,1,1,1,0,1
"113",2.1,1,1,1,1,2,2,1,3,3,1,30
"113",2.2,3,3,1,1,1,1,1,1,4,0,1
"113",2.3,2,3,3,3,1,5,5,3,5,1,90
"113",2.4,5,3,5,2,1,1,3,1,4,1,30
"113",2.5,4.25,3,3.5,3,1,2,4,2.5,3.25,1,45.25
"113",3.1,5,4,5,4,1,1,1,1,1,1,60
"113",3.2,5,2,1,3,1,1,7,5,3,1,1
"113",3.3,5,3,4,4,1,1,1,1,3,1,30
"113",3.4,5,4,5,5,1,1,1,1,3,0,90
"113",3.5,5,4,5,4,1,1,1,1,3,0,30
"113",4.1,5,4,5,4,1,4,2,1,3,1,60
"113",4.2,5,4,4,3,1,1,2,4,5,0,1
"113",4.3,5,5,4,1,1,1,1,1,3,1,1
"113",4.4,5,5,2,1,1,3,2,5,4,1,60
"113",4.5,5,5,5,2,1,1,1,1,1,0,240
"113",5.1,5,4,5,3,1,1,2,1,4,0,60
"113",5.2,5,4,5,3,2,1,2,1,3,0,60
"113",5.3,6,4,6,1,1,1,1,1,5,0,60
"113",5.4,5,4,4,3,1,1,1,1,1,1,60
"113",5.5,6,4,4,4,1,1,1,1,2,0,60
"113",6.1,5,4,5,3,2,1,1,1,3,1,45
"113",6.2,5,4,4,3,4,1,5,1,4,0,30
"113",6.3,5,5,5,2,5,1,4,1,5,0,60
"113",6.4,4.25,4,4,2.25,2.75,1,5,2,4,0.25,45
"113",6.5,2,2,2,2,1,1,6,5,5,0,60
"113",7.1,5,5,5,2,1,1,5,1,2,1,30
"113",7.2,6,5,6,1,4,1,3,1,3,0,60
"113",7.3,6,5,6,1,1,1,2,1,1,0,1
"113",7.4,6,6,6,5,1,1,1,1,1,0,90
"113",7.5,5,5,7,2,1,1,1,1,3,0,1
"113",8.1,6,2,5,5,1,1,1,1,1,1,90
"113",8.2,6,5,6,6,1,1,1,1,1,0,1
"113",8.3,6,2,5,6,1,1,1,1,2,1,60
"113",8.4,6,4,5,7,1,1,1,1,1,0,90
"113",8.5,5,4,5,6,1,1,1,1,1,0,240
"113",9.1,5,5,5,5,1,1,2,1,2,0,60
"113",9.2,5,4,5,4,1,1,4,1,3,0,1
"113",9.3,4,5,4,2,2,6,7,7,6,1,1
"113",9.4,5,4,4,2,1,1,6,6,4,0,1
"113",9.5,5,3,5,5,2,2,2,2,3,0,30
"113",10.1,6,5,5,4,1,1,5,1,4,0,60
"113",10.2,3,4,1,1,1,4,5,1,5,0,1
"113",10.3,2,1,3,1,1,1,5,1,1,0,1
"113",10.4,5,5,5,1,1,1,5,1,5,0,60
"113",10.5,1,1,1,1,5,6,6,6,2,0,40
"113",11.1,6,6,5,1,1,1,1,1,3,0,60
"113",11.2,4,6,6,1,1,1,5,4,3,0,5
"113",11.3,6,6,6,1,1,1,1,1,2,0,90
"113",11.4,6,6,6,1,1,1,1,1,1,0,1
"113",11.5,6,5,6,1,1,1,1,1,1,0,60
"113",12.1,6,5,6,1,1,1,1,1,4,1,90
"113",12.2,6,6,6,1,1,1,1,1,6,0,1
"113",12.3,6,6,6,1,1,1,6,6,1,0,60
"113",12.4,6,6,6,1,1,1,1,1,4,0,1
"113",12.5,7,5,7,4,1,1,1,1,1,0,30
"113",13.1,6,6,6,5,1,1,1,1,1,0,240
"113",13.2,7,6,6,5,1,1,1,1,1,0,1
"113",13.3,6,4,6,6,1,1,4,1,1,0,60
"113",13.4,6,4,6,6,1,1,1,1,1,0,240
"113",13.5,6,4,6,5,1,1,1,1,1,0,1
"113",14.1,6,6,6,5,1,1,4,1,1,0,240
"113",14.2,6,6,6,5,1,1,1,1,1,0,60
"113",14.3,6,5,6,5,1,1,1,1,1,0,1
"113",14.4,6,5.5,6,5,1,1,1,1,1,0,30.5
"113",14.5,6,5.5,6,5,1,1,1,1,1,0,30.5
